#wavelength,trans1p3p,trans1p3e,trans0p0e,atm1p0
##double,double,double,double,double
4555,0.3097,0.3097,0.3827,0.8368
4580,0.3141,0.3141,0.3863,0.8397
4605,0.3184,0.3184,0.3899,0.8425
4630,0.3224,0.3224,0.3931,0.8453
4655,0.3257,0.3257,0.3955,0.8480
4680,0.3284,0.3284,0.3973,0.8505
4705,0.3307,0.3307,0.3986,0.8528
4730,0.3327,0.3327,0.3997,0.8549
4755,0.3346,0.3346,0.4008,0.8568
4780,0.3364,0.3364,0.4019,0.8587
4805,0.3383,0.3383,0.4030,0.8606
4830,0.3403,0.3403,0.4043,0.8625
4855,0.3425,0.3425,0.4057,0.8643
4880,0.3448,0.3448,0.4073,0.8661
4905,0.3472,0.3472,0.4091,0.8678
4930,0.3495,0.3495,0.4110,0.8693
4955,0.3519,0.3519,0.4129,0.8706
4980,0.3541,0.3541,0.4147,0.8719
5005,0.3562,0.3562,0.4165,0.8730
5030,0.3581,0.3581,0.4181,0.8740
5055,0.3597,0.3597,0.4194,0.8750
5080,0.3609,0.3609,0.4201,0.8759
5105,0.3613,0.3613,0.4201,0.8768
5130,0.3609,0.3609,0.4191,0.8777
5155,0.3595,0.3595,0.4169,0.8785
5180,0.3581,0.3581,0.4147,0.8794
5205,0.3558,0.3558,0.4115,0.8803
5230,0.3452,0.3452,0.3988,0.8813
5255,0.3194,0.3194,0.3684,0.8822
5280,0.2807,0.2807,0.3233,0.8832
5305,0.2339,0.2339,0.2690,0.8842
5330,0.1839,0.1839,0.2112,0.8852
5355,0.1352,0.1352,0.1550,0.8861
5380,0.0911,0.0911,0.1043,0.8869
5405,0.0548,0.0548,0.0627,0.8877
5430,0.0295,0.0295,0.0337,0.8885
5455,0.0166,0.0166,0.0190,0.8891
5480,0.0112,0.0112,0.0128,0.8897
5505,0.0077,0.0077,0.0087,0.8902
5530,0.0050,0.0050,0.0057,0.8907
5555,0.0032,0.0032,0.0037,0.8911
5580,0.0021,0.0021,0.0024,0.8914
5605,0.0015,0.0015,0.0017,0.8917
5630,0.0012,0.0012,0.0014,0.8920
5655,0.0010,0.0010,0.0012,0.8923
5680,0.0009,0.0009,0.0010,0.8926
5705,0.0008,0.0008,0.0009,0.8929
5730,0.0006,0.0006,0.0007,0.8933
5755,0.0005,0.0005,0.0005,0.8938
5780,0.0003,0.0003,0.0003,0.8945
5805,0.0001,0.0001,0.0001,0.8952
5830,0.0000,0.0000,0.0000,0.8962
5380,0.0000,0.0000,0.0000,0.8869
5405,0.0014,0.0014,0.0016,0.8877
5430,0.0099,0.0099,0.0113,0.8885
5455,0.0259,0.0260,0.0297,0.8891
5480,0.0497,0.0498,0.0568,0.8897
5505,0.0807,0.0809,0.0923,0.8902
5530,0.1186,0.1190,0.1356,0.8907
5555,0.1625,0.1630,0.1856,0.8911
5580,0.2093,0.2100,0.2390,0.8914
5605,0.2555,0.2564,0.2917,0.8917
5630,0.2975,0.2986,0.3395,0.8920
5655,0.3326,0.3339,0.3794,0.8923
5680,0.3609,0.3623,0.4116,0.8926
5705,0.3834,0.3849,0.4371,0.8929
5730,0.4010,0.4027,0.4570,0.8933
5755,0.4147,0.4165,0.4723,0.8938
5780,0.4253,0.4271,0.4839,0.8945
5805,0.4333,0.4353,0.4925,0.8952
5830,0.4395,0.4416,0.4990,0.8962
5855,0.4446,0.4467,0.5040,0.8973
5880,0.4489,0.4511,0.5080,0.8986
5905,0.4527,0.4550,0.5112,0.9001
5930,0.4563,0.4587,0.5141,0.9018
5955,0.4599,0.4624,0.5169,0.9037
5980,0.4634,0.4660,0.5194,0.9057
6005,0.4665,0.4692,0.5213,0.9079
6030,0.4689,0.4716,0.5222,0.9103
6055,0.4703,0.4731,0.5220,0.9128
6080,0.4711,0.4740,0.5212,0.9153
6105,0.4717,0.4747,0.5202,0.9177
6130,0.4727,0.4758,0.5197,0.9199
6155,0.4744,0.4776,0.5202,0.9220
6180,0.4767,0.4800,0.5215,0.9238
6205,0.4792,0.4827,0.5233,0.9253
6230,0.4819,0.4854,0.5254,0.9265
6255,0.4844,0.4881,0.5275,0.9275
6280,0.4867,0.4905,0.5294,0.9285
6305,0.4887,0.4926,0.5310,0.9294
6330,0.4902,0.4942,0.5319,0.9305
6355,0.4909,0.4951,0.5320,0.9316
6380,0.4912,0.4955,0.5316,0.9327
6405,0.4912,0.4956,0.5310,0.9337
6430,0.4912,0.4958,0.5305,0.9346
6455,0.4914,0.4961,0.5302,0.9354
6480,0.4915,0.4964,0.5299,0.9363
6505,0.4912,0.4962,0.5290,0.9373
6530,0.4901,0.4953,0.5271,0.9385
6555,0.4878,0.4931,0.5241,0.9395
6580,0.4852,0.4906,0.5211,0.9400
6605,0.4818,0.4873,0.5176,0.9398
6630,0.4697,0.4752,0.5057,0.9386
6655,0.4421,0.4474,0.4775,0.9366
6680,0.4009,0.4059,0.4341,0.9349
6705,0.3499,0.3544,0.3792,0.9345
6730,0.2924,0.2963,0.3162,0.9366
6755,0.2318,0.2350,0.2488,0.9421
6780,0.1715,0.1739,0.1824,0.9492
6805,0.1152,0.1168,0.1225,0.9494
6830,0.0687,0.0697,0.0747,0.9334
6855,0.0380,0.0386,0.0430,0.9057
6880,0.0212,0.0215,0.0247,0.8862
6905,0.0134,0.0136,0.0155,0.8893
6930,0.0099,0.0101,0.0112,0.9083
6955,0.0076,0.0077,0.0083,0.9311
6980,0.0055,0.0056,0.0059,0.9450
7005,0.0039,0.0039,0.0041,0.9464
7030,0.0027,0.0028,0.0029,0.9561
7055,0.0020,0.0020,0.0021,0.9709
7080,0.0015,0.0016,0.0016,0.9826
7105,0.0012,0.0013,0.0013,0.9827
7130,0.0010,0.0010,0.0010,0.9629
7155,0.0007,0.0007,0.0008,0.9192
7180,0.0004,0.0004,0.0005,0.8849
7205,0.0002,0.0002,0.0002,0.8974
7230,0.0000,0.0000,0.0000,0.9182
6430,0.0000,0.0000,0.0000,0.9346
6455,0.0001,0.0001,0.0001,0.9354
6480,0.0003,0.0003,0.0003,0.9363
6505,0.0004,0.0004,0.0004,0.9373
6530,0.0004,0.0004,0.0005,0.9385
6555,0.0003,0.0004,0.0004,0.9395
6580,0.0003,0.0003,0.0003,0.9400
6605,0.0004,0.0004,0.0005,0.9398
6630,0.0009,0.0009,0.0010,0.9386
6655,0.0019,0.0019,0.0021,0.9366
6680,0.0034,0.0034,0.0036,0.9349
6705,0.0056,0.0056,0.0060,0.9345
6730,0.0103,0.0104,0.0111,0.9366
6755,0.0194,0.0197,0.0208,0.9421
6780,0.0344,0.0349,0.0366,0.9492
6805,0.0561,0.0569,0.0597,0.9494
6830,0.0839,0.0851,0.0913,0.9334
6855,0.1164,0.1181,0.1317,0.9057
6880,0.1528,0.1552,0.1779,0.8862
6905,0.1948,0.1980,0.2260,0.8893
6930,0.2408,0.2448,0.2719,0.9083
6955,0.2857,0.2906,0.3125,0.9311
6980,0.3233,0.3290,0.3470,0.9450
7005,0.3503,0.3566,0.3755,0.9464
7030,0.3759,0.3829,0.3978,0.9561
7055,0.3990,0.4067,0.4142,0.9709
7080,0.4162,0.4245,0.4256,0.9826
7105,0.4233,0.4320,0.4331,0.9827
7130,0.4165,0.4252,0.4377,0.9629
7155,0.3943,0.4028,0.4405,0.9192
7180,0.3760,0.3844,0.4416,0.8849
7205,0.3823,0.3911,0.4411,0.8974
7230,0.3918,0.4011,0.4392,0.9182
7255,0.3892,0.3988,0.4358,0.9195
7280,0.3828,0.3924,0.4315,0.9153
7305,0.3820,0.3919,0.4265,0.9225
7330,0.3884,0.3988,0.4214,0.9436
7355,0.3872,0.3979,0.4165,0.9505
7380,0.3821,0.3930,0.4119,0.9496
7405,0.3787,0.3898,0.4077,0.9512
7430,0.3759,0.3872,0.4039,0.9531
7455,0.3727,0.3842,0.4006,0.9535
7480,0.3681,0.3799,0.3975,0.9508
7505,0.3618,0.3737,0.3943,0.9449
7530,0.3565,0.3685,0.3906,0.9416
7555,0.3554,0.3678,0.3862,0.9483
7580,0.3478,0.3603,0.3812,0.9429
7605,0.1473,0.1527,0.3757,0.4926
7630,0.2096,0.2176,0.3700,0.6546
7655,0.2648,0.2752,0.3641,0.7939
7680,0.3300,0.3434,0.3583,0.9530
7705,0.3256,0.3392,0.3526,0.9558
7730,0.3223,0.3361,0.3473,0.9602
7755,0.3179,0.3319,0.3424,0.9615
7780,0.3129,0.3272,0.3379,0.9605
7805,0.3077,0.3221,0.3337,0.9583
7830,0.3026,0.3173,0.3297,0.9559
7855,0.2980,0.3129,0.3259,0.9541
7880,0.2944,0.3095,0.3224,0.9541
7905,0.2921,0.3077,0.3194,0.9567
7930,0.2916,0.3075,0.3169,0.9622
7955,0.2921,0.3086,0.3150,0.9692
7980,0.2927,0.3098,0.3132,0.9762
8005,0.2923,0.3098,0.3111,0.9814
8030,0.2896,0.3076,0.3081,0.9833
8055,0.2840,0.3021,0.3039,0.9801
8080,0.2758,0.2939,0.2996,0.9702
8105,0.2642,0.2821,0.2945,0.9524
8130,0.2427,0.2597,0.2803,0.9285
8155,0.2091,0.2242,0.2493,0.9075
8180,0.1689,0.1815,0.2060,0.8931
8205,0.1276,0.1374,0.1578,0.8853
8230,0.0901,0.0973,0.1118,0.8843
8255,0.0603,0.0652,0.0743,0.8902
8280,0.0378,0.0410,0.0458,0.9033
8305,0.0218,0.0237,0.0257,0.9242
8330,0.0117,0.0128,0.0134,0.9483
8355,0.0068,0.0074,0.0077,0.9591
8380,0.0048,0.0053,0.0055,0.9576
8405,0.0033,0.0036,0.0037,0.9567
8430,0.0020,0.0022,0.0023,0.9564
8455,0.0013,0.0014,0.0015,0.9565
8480,0.0010,0.0011,0.0011,0.9569
8505,0.0009,0.0010,0.0011,0.9576
8530,0.0009,0.0010,0.0011,0.9584
8555,0.0008,0.0009,0.0009,0.9592
8580,0.0005,0.0006,0.0006,0.9598
8605,0.0002,0.0003,0.0003,0.9602
8630,0.0000,0.0000,0.0000,0.9603
7730,0.0000,0.0000,0.0000,0.9602
7755,0.0000,0.0000,0.0000,0.9615
7780,0.0001,0.0001,0.0001,0.9605
7805,0.0001,0.0001,0.0001,0.9583
7830,0.0001,0.0001,0.0001,0.9559
7855,0.0002,0.0002,0.0002,0.9541
7880,0.0002,0.0002,0.0002,0.9541
7905,0.0003,0.0003,0.0003,0.9567
7930,0.0005,0.0005,0.0005,0.9622
7955,0.0007,0.0007,0.0007,0.9692
7980,0.0011,0.0011,0.0011,0.9762
8005,0.0017,0.0017,0.0017,0.9814
8030,0.0027,0.0027,0.0027,0.9833
8055,0.0040,0.0040,0.0040,0.9801
8080,0.0057,0.0057,0.0058,0.9702
8105,0.0079,0.0079,0.0082,0.9524
8130,0.0106,0.0106,0.0114,0.9285
8155,0.0139,0.0139,0.0155,0.9075
8180,0.0178,0.0178,0.0202,0.8931
8205,0.0222,0.0222,0.0255,0.8853
8230,0.0271,0.0271,0.0311,0.8843
8255,0.0324,0.0324,0.0369,0.8902
8280,0.0382,0.0382,0.0428,0.9033
8305,0.0446,0.0446,0.0484,0.9242
8330,0.0511,0.0511,0.0536,0.9483
8355,0.0564,0.0564,0.0583,0.9591
8380,0.0603,0.0603,0.0625,0.9576
8405,0.0637,0.0637,0.0661,0.9567
8430,0.0667,0.0667,0.0693,0.9564
8455,0.0694,0.0694,0.0720,0.9565
8480,0.0717,0.0717,0.0744,0.9569
8505,0.0736,0.0736,0.0763,0.9576
8530,0.0752,0.0752,0.0779,0.9584
8555,0.0765,0.0765,0.0792,0.9592
8580,0.0775,0.0775,0.0801,0.9598
8605,0.0782,0.0782,0.0808,0.9602
8630,0.0786,0.0786,0.0812,0.9603
8655,0.0787,0.0787,0.0813,0.9599
8680,0.0785,0.0785,0.0812,0.9593
8705,0.0780,0.0780,0.0807,0.9586
8730,0.0772,0.0772,0.0801,0.9578
8755,0.0763,0.0763,0.0791,0.9571
8780,0.0751,0.0751,0.0779,0.9567
8805,0.0738,0.0738,0.0766,0.9566
8830,0.0723,0.0723,0.0750,0.9571
8855,0.0708,0.0708,0.0734,0.9582
8880,0.0693,0.0693,0.0716,0.9600
8905,0.0674,0.0674,0.0698,0.9591
8930,0.0632,0.0632,0.0679,0.9314
8955,0.0581,0.0581,0.0661,0.8923
8980,0.0543,0.0543,0.0642,0.8648
9005,0.0526,0.0526,0.0624,0.8633
9030,0.0523,0.0523,0.0607,0.8787
9055,0.0522,0.0522,0.0590,0.8961
9080,0.0512,0.0512,0.0574,0.9020
9105,0.0496,0.0496,0.0559,0.8980
9130,0.0481,0.0481,0.0546,0.8931
9155,0.0473,0.0473,0.0535,0.8962
9180,0.0476,0.0476,0.0524,0.9138
9205,0.0482,0.0482,0.0515,0.9352
9230,0.0476,0.0476,0.0505,0.9407
9255,0.0447,0.0447,0.0496,0.9103
9280,0.0391,0.0391,0.0485,0.8345
9305,0.0329,0.0329,0.0474,0.7441
9330,0.0283,0.0283,0.0462,0.6752
9355,0.0264,0.0264,0.0450,0.6524
9380,0.0271,0.0271,0.0438,0.6794
9405,0.0283,0.0283,0.0426,0.7178
9430,0.0275,0.0275,0.0415,0.7184
9455,0.0254,0.0254,0.0404,0.6897
9480,0.0252,0.0252,0.0393,0.7003
9505,0.0256,0.0256,0.0383,0.7214
9530,0.0246,0.0246,0.0373,0.7147
9555,0.0244,0.0244,0.0363,0.7251
9580,0.0252,0.0252,0.0353,0.7594
9605,0.0258,0.0258,0.0342,0.7923
9630,0.0265,0.0265,0.0331,0.8302
9655,0.0274,0.0274,0.0319,0.8766
9680,0.0279,0.0279,0.0307,0.9150
9705,0.0271,0.0271,0.0294,0.9253
9730,0.0252,0.0252,0.0280,0.9059
9755,0.0236,0.0236,0.0267,0.8947
9780,0.0227,0.0227,0.0253,0.9045
9805,0.0222,0.0222,0.0240,0.9262
9830,0.0216,0.0216,0.0227,0.9500
9855,0.0208,0.0208,0.0213,0.9652
9880,0.0196,0.0196,0.0201,0.9656
9905,0.0183,0.0183,0.0188,0.9642
9930,0.0171,0.0171,0.0176,0.9630
9955,0.0160,0.0160,0.0165,0.9618
9980,0.0149,0.0149,0.0153,0.9607
10005,0.0138,0.0138,0.0143,0.9597
10030,0.0128,0.0128,0.0132,0.9588
10055,0.0118,0.0118,0.0122,0.9579
10080,0.0108,0.0108,0.0112,0.9572
10105,0.0099,0.0099,0.0103,0.9565
10130,0.0091,0.0091,0.0094,0.9559
10155,0.0083,0.0083,0.0086,0.9553
10180,0.0075,0.0075,0.0078,0.9549
10205,0.0068,0.0068,0.0071,0.9545
10230,0.0061,0.0061,0.0064,0.9541
10255,0.0055,0.0055,0.0058,0.9539
10280,0.0050,0.0050,0.0052,0.9537
10305,0.0045,0.0045,0.0047,0.9535
10330,0.0041,0.0041,0.0042,0.9534
10355,0.0037,0.0037,0.0038,0.9534
10380,0.0033,0.0033,0.0035,0.9534
10405,0.0030,0.0030,0.0031,0.9535
10430,0.0027,0.0027,0.0028,0.9536
10455,0.0025,0.0025,0.0026,0.9537
10480,0.0023,0.0023,0.0024,0.9539
10505,0.0021,0.0021,0.0022,0.9541
10530,0.0019,0.0019,0.0020,0.9544
10555,0.0018,0.0018,0.0019,0.9547
10580,0.0017,0.0017,0.0018,0.9551
10605,0.0016,0.0016,0.0016,0.9554
10630,0.0015,0.0015,0.0015,0.9558
10655,0.0014,0.0014,0.0014,0.9563
10680,0.0013,0.0013,0.0013,0.9567
10705,0.0012,0.0012,0.0012,0.9572
10730,0.0011,0.0011,0.0011,0.9577
10755,0.0010,0.0010,0.0010,0.9582
10780,0.0009,0.0009,0.0009,0.9587
10805,0.0008,0.0008,0.0008,0.9593
10830,0.0008,0.0008,0.0008,0.9598
10855,0.0007,0.0007,0.0007,0.9604
10880,0.0006,0.0006,0.0007,0.9609
10905,0.0006,0.0006,0.0006,0.9615
10930,0.0006,0.0006,0.0006,0.9621
10955,0.0005,0.0005,0.0005,0.9626
10980,0.0005,0.0005,0.0005,0.9632
11005,0.0004,0.0004,0.0004,0.9638
11030,0.0004,0.0004,0.0004,0.9643
11055,0.0003,0.0003,0.0003,0.9648
11080,0.0003,0.0003,0.0003,0.9654
11105,0.0002,0.0002,0.0002,0.9659
11130,0.0002,0.0002,0.0002,0.9664
11155,0.0001,0.0001,0.0001,0.9669
11180,0.0001,0.0001,0.0001,0.9673
11205,0.0000,0.0000,0.0000,0.9677
11230,0.0000,0.0000,0.0000,0.9682
