zspec u-g g-r r-i i-z u-slope g-slope uerr gerr rerr ierr zerr u-slopeerr g-slopeerr
1.3376 -0.0884 0.3137 0.0338 -0.0403 -0.0075 0.0503 0.0850 0.0136 0.0230 0.0328 0.1399 0.0350 0.0250 
3.1840 2.3567 0.3276 0.0871 0.1164 -0.0646 -0.0356 0.2772 0.0050 0.0385 0.0528 0.2402 0.0350 0.0250 
2.4883 0.6562 -0.0008 0.0701 0.3213 0.0107 0.0700 0.2401 0.0485 0.0312 0.0880 0.1627 0.0350 0.0250 
2.4478 0.4475 0.1618 -0.1131 0.5032 0.0034 0.0068 0.1798 0.0335 0.0692 0.0671 0.1138 0.0350 0.0250 
3.4034 2.1348 0.5055 0.2164 0.2654 -0.0126 -0.0113 0.5871 0.0253 0.0289 0.0619 0.1640 0.0350 0.0250 
3.1402 1.6121 0.2928 0.1066 -0.0555 -0.0379 -0.0681 0.2519 0.1065 0.0339 0.0348 0.1568 0.0350 0.0250 
3.4545 2.3427 0.6991 0.2504 0.0608 -0.0126 -0.0078 0.6598 0.0621 0.0654 0.0083 0.2844 0.0350 0.0250 
3.7414 2.4559 1.2358 0.0652 0.2212 -0.0079 -0.0159 0.5272 0.0485 0.0181 0.0968 0.0278 0.0350 0.0250 
2.2644 0.5935 0.0598 0.1441 0.3870 0.0032 0.0040 0.0124 0.0557 0.0693 0.1023 0.1206 0.0350 0.0250 
1.6584 0.2538 0.1511 0.2403 0.0654 0.0569 0.0330 0.0129 0.0276 0.0355 0.0543 0.0750 0.0350 0.0250 
2.0803 0.1522 0.1370 0.0609 0.3050 -0.0765 -0.0121 0.1402 0.0413 0.0445 0.0794 0.0651 0.0350 0.0250 
2.6652 0.6816 0.1547 0.0152 0.1997 -0.0426 0.0259 0.1705 0.0377 0.0271 0.0133 0.0808 0.0350 0.0250 
3.2227 1.5657 0.2733 -0.0104 0.0808 -0.0695 -0.0513 0.2467 0.0605 0.0405 0.0658 0.1357 0.0350 0.0250 
1.9479 0.1202 0.0414 0.2600 0.2653 -0.0159 0.0213 0.1395 0.0150 0.0048 0.0186 0.0424 0.0350 0.0250 
3.4803 2.5296 0.7380 0.2250 0.0970 -0.0115 0.0086 0.4875 0.0670 0.0580 0.0559 0.1106 0.0350 0.0250 
3.5971 2.2028 0.9703 0.1349 -0.0134 -0.0221 0.0017 0.5158 0.0383 0.0717 0.0786 0.0977 0.0350 0.0250 
2.6807 0.8570 0.2032 0.0688 0.2195 -0.0330 0.0289 0.1219 0.0287 0.0451 0.0809 0.1562 0.0350 0.0250 
3.2603 1.8959 0.4336 0.0513 0.1063 -0.0167 -0.0394 0.4795 0.0588 0.0389 0.0990 0.1421 0.0350 0.0250 
1.6993 0.2247 0.0398 0.2034 0.1837 0.0696 0.0433 0.0304 0.0523 0.0252 0.0295 0.0272 0.0350 0.0250 
1.6121 0.2129 0.0693 0.2236 0.0157 0.0489 0.0509 0.0999 0.0251 0.0372 0.0765 0.1029 0.0350 0.0250 
3.3512 2.3677 0.3903 0.0551 0.0546 -0.0244 -0.0650 0.5484 0.0946 0.0387 0.0514 0.3071 0.0350 0.0250 
3.7651 2.7930 1.2394 0.1213 0.1447 -0.0137 -0.0473 0.6122 0.0700 0.0517 0.0643 0.2405 0.0350 0.0250 
2.7732 0.5493 0.1702 0.0223 0.3296 -0.0198 0.0023 0.2367 0.0479 0.0207 0.0442 0.0809 0.0350 0.0250 
1.9296 0.0968 0.1594 0.3358 0.2152 -0.0007 0.0129 0.0898 0.0207 0.0420 0.0162 0.0571 0.0350 0.0250 
1.0630 -0.0339 0.1888 -0.0348 0.1323 0.0181 0.0099 0.0231 0.0188 0.0294 0.0148 0.0819 0.0350 0.0250 
1.7420 0.0234 -0.0732 0.2451 0.2053 0.0802 0.0370 0.2537 0.0155 0.0266 0.0219 0.0556 0.0350 0.0250 
1.2514 0.2830 0.4085 0.0369 0.1378 0.0324 0.0289 0.1191 0.0360 0.0127 0.0473 0.1205 0.0350 0.0250 
3.1574 1.7105 0.3362 0.1526 0.1503 -0.0522 -0.0567 0.5627 0.0670 0.0586 0.0148 0.2159 0.0350 0.0250 
1.1610 0.2033 0.3454 0.0971 0.1189 0.0298 0.0287 0.0673 0.0238 0.0486 0.0330 0.1484 0.0350 0.0250 
1.9060 -0.0088 -0.0762 0.2381 0.2400 0.0151 0.0302 0.0847 0.0570 0.0175 0.0115 0.0842 0.0350 0.0250 
1.2149 -0.0072 0.3341 0.0261 0.2883 0.0009 0.0372 0.1343 0.0187 0.0259 0.0796 0.0083 0.0350 0.0250 
2.9484 0.9962 0.1353 -0.0164 0.1567 -0.0567 -0.0139 0.1637 0.0276 0.0594 0.0864 0.2141 0.0350 0.0250 
2.5186 0.4248 0.0600 -0.0129 0.4119 -0.0034 0.0491 0.0012 0.0059 0.0433 0.0457 0.1369 0.0350 0.0250 
3.6665 2.7813 1.0789 0.0934 0.0620 -0.0209 -0.0388 0.3992 0.1032 0.0296 0.0421 0.2316 0.0350 0.0250 
2.8475 0.7833 0.2896 0.0548 0.3477 -0.0291 0.0120 0.0635 0.0296 0.0574 0.1081 0.2804 0.0350 0.0250 
2.2894 0.5554 0.1294 -0.0054 0.2895 -0.0118 -0.0052 0.2476 0.0726 0.0580 0.0348 0.0542 0.0350 0.0250 
3.0225 1.3635 0.3292 0.0072 0.1241 -0.1269 -0.0188 0.2760 0.0422 0.0383 0.0229 0.0790 0.0350 0.0250 
0.6801 0.3119 0.0568 0.0722 0.3747 0.0092 0.0208 0.0985 0.0305 0.0329 0.0432 0.0970 0.0350 0.0250 
0.5926 0.3436 -0.0151 0.1355 0.2986 0.0002 0.0258 0.0271 0.0295 0.0467 0.0147 0.0905 0.0350 0.0250 
2.2811 0.5695 0.0234 0.0099 0.4166 -0.0065 0.0018 0.0654 0.0355 0.0058 0.0213 0.0289 0.0350 0.0250 
0.4255 0.4656 0.0837 0.2619 0.2426 0.0012 0.0361 0.0685 0.0256 0.0170 0.0099 0.0532 0.0350 0.0250 
2.2721 0.3462 -0.0435 0.0310 0.3904 -0.0063 0.0071 0.0856 0.0573 0.0577 0.0496 0.1151 0.0350 0.0250 
1.1551 0.3229 0.4592 0.0287 0.0974 0.0467 0.0419 0.1069 0.0292 0.0461 0.0265 0.0345 0.0350 0.0250 
2.5817 0.5572 0.0858 -0.0631 0.3909 -0.0236 0.0394 0.1048 0.0486 0.0469 0.0367 0.1153 0.0350 0.0250 
3.7364 2.9930 1.1475 0.0918 0.1476 -0.0108 -0.0257 0.3499 0.1147 0.0451 0.0678 0.0338 0.0350 0.0250 
2.5761 0.3701 0.0225 -0.0956 0.3296 -0.0123 0.0784 0.1266 0.0557 0.0517 0.1211 0.2907 0.0350 0.0250 
2.2016 0.4091 0.1920 0.0837 0.3942 -0.0296 -0.0175 0.2253 0.0326 0.0698 0.0599 0.1899 0.0350 0.0250 
1.9024 0.2415 0.0665 0.2431 0.1402 -0.0052 0.0189 0.1288 0.0234 0.0328 0.0052 0.1126 0.0350 0.0250 
3.9737 1.0907 1.3351 0.1479 0.1355 -0.0010 -0.0678 0.2586 0.1978 0.0343 0.0240 0.0525 0.0350 0.0250 
3.5384 2.3864 0.6166 0.3247 0.1081 -0.0290 -0.0406 0.3805 0.0967 0.0236 0.0979 0.1223 0.0350 0.0250 
0.4115 0.3514 0.1700 0.2226 0.2657 -0.0042 0.0385 0.0692 0.0183 0.0090 0.0098 0.0584 0.0350 0.0250 
1.0750 0.1963 0.2982 -0.0135 0.0841 0.0182 0.0282 0.0401 0.0350 0.0259 0.0692 0.0460 0.0350 0.0250 
3.1029 1.4696 0.3502 0.0176 0.1316 -0.0317 -0.0228 0.3843 0.0429 0.0357 0.0435 0.1534 0.0350 0.0250 
1.6386 0.0275 0.1604 0.3848 0.1767 0.0607 0.0507 0.0928 0.0499 0.0186 0.0458 0.1210 0.0350 0.0250 
0.6954 0.3086 0.0774 0.1446 0.3953 0.0034 -0.0099 0.0495 0.0245 0.0184 0.0124 0.0688 0.0350 0.0250 
0.7846 0.1930 0.1373 0.0645 0.4106 0.0131 0.0058 0.1072 0.0170 0.0127 0.0518 0.0333 0.0350 0.0250 
2.8769 0.7755 0.2571 -0.0170 0.2356 -0.0483 -0.0022 0.0239 0.0309 0.0570 0.1077 0.4152 0.0350 0.0250 
1.9132 0.2247 0.1701 0.2420 0.1325 -0.0079 0.0277 0.0019 0.0085 0.0889 0.0406 0.0573 0.0350 0.0250 
3.2019 1.4343 0.2550 0.0041 0.0995 -0.0443 -0.0522 0.3696 0.0601 0.0555 0.1301 0.0640 0.0350 0.0250 
2.9986 0.9460 0.2491 -0.0569 0.2915 -0.0196 0.0065 0.1377 0.0617 0.0514 0.0384 0.0670 0.0350 0.0250 
1.0920 0.2097 0.2553 -0.0359 0.1172 0.0347 0.0089 0.0591 0.0261 0.0226 0.0057 0.1242 0.0350 0.0250 
2.1719 0.4662 -0.0205 0.0746 0.5164 -0.0721 0.0108 0.0564 0.0426 0.0258 0.0713 0.1465 0.0350 0.0250 
1.4311 0.1570 0.2887 0.1138 0.2888 -0.0167 0.0339 0.0991 0.0216 0.0289 0.0514 0.0572 0.0350 0.0250 
1.4715 0.0487 0.1340 0.1912 0.2279 -0.0240 0.0451 0.1030 0.0166 0.0146 0.0142 0.0614 0.0350 0.0250 
0.6260 0.2845 0.0170 0.1326 0.2463 -0.0017 0.0165 0.0227 0.0432 0.0408 0.0182 0.0690 0.0350 0.0250 
1.2207 0.0700 0.3270 0.0007 0.1756 0.0368 0.0353 0.0994 0.0252 0.0499 0.0268 0.0838 0.0350 0.0250 
3.9340 1.6641 1.1339 0.0261 0.1009 0.0239 -0.0241 0.4310 0.1786 0.0429 0.0565 0.1897 0.0350 0.0250 
1.7161 0.2596 0.0936 0.3311 0.1127 0.0591 0.0279 0.0928 0.0174 0.0115 0.0457 0.0611 0.0350 0.0250 
2.2831 0.5212 0.0705 0.1283 0.2686 -0.0020 0.0213 0.0690 0.0525 0.0424 0.0303 0.2106 0.0350 0.0250 
3.6317 1.8584 1.0076 0.1999 0.2016 -0.0252 -0.0247 0.5426 0.0549 0.0122 0.0828 0.1273 0.0350 0.0250 
1.6727 0.2140 0.0100 0.3484 0.0542 0.0383 0.0338 0.1803 0.0536 0.0110 0.0011 0.1963 0.0350 0.0250 
2.4523 0.6451 0.0941 0.0392 0.3534 0.0085 0.0394 0.0455 0.0132 0.0357 0.0192 0.2561 0.0350 0.0250 
2.0283 0.1913 0.1155 0.1602 0.3455 -0.0543 0.0216 0.1631 0.0278 0.0368 0.0685 0.0609 0.0350 0.0250 
0.4301 0.3590 0.1330 0.1968 0.2898 0.0016 0.0242 0.0413 0.0197 0.0219 0.0146 0.0215 0.0350 0.0250 
1.6373 0.1778 0.1199 0.2886 0.0372 0.0603 0.0663 0.0689 0.0374 0.0170 0.0101 0.0687 0.0350 0.0250 
1.0696 0.1379 0.3082 -0.0409 0.1770 0.0360 0.0035 0.0557 0.0193 0.0377 0.0338 0.0889 0.0350 0.0250 
3.8980 1.6788 1.1903 0.1312 0.1903 -0.0099 -0.0215 0.2075 0.1384 0.0089 0.0547 0.1554 0.0350 0.0250 
1.4301 0.0186 0.1865 0.1230 0.1549 -0.0283 0.0420 0.1152 0.0493 0.0066 0.0255 0.0805 0.0350 0.0250 
1.9437 0.1163 0.0773 0.2301 0.3301 -0.0321 0.0249 0.0508 0.0408 0.0391 0.0516 0.0543 0.0350 0.0250 
1.2077 0.3099 0.4312 0.1207 0.1115 0.0251 0.0327 0.1308 0.0186 0.0369 0.0074 0.0419 0.0350 0.0250 
2.6053 0.4763 0.1430 -0.0108 0.3667 -0.0235 0.0337 0.0247 0.0232 0.0118 0.0698 0.2436 0.0350 0.0250 
0.9318 0.2363 0.2613 0.0401 0.1415 0.0045 0.0003 0.1144 0.0152 0.0383 0.0199 0.1573 0.0350 0.0250 
3.8748 2.1393 1.2100 0.1558 0.1800 0.0068 -0.0126 0.2294 0.1192 0.0397 0.0710 0.1610 0.0350 0.0250 
2.5781 0.6983 0.0577 -0.0447 0.5623 -0.0356 0.0676 0.1589 0.0021 0.0431 0.0580 0.0934 0.0350 0.0250 
1.8288 0.2363 0.2312 0.2567 0.1898 0.0441 0.0185 0.1072 0.0283 0.0510 0.0578 0.0831 0.0350 0.0250 
2.1064 0.2208 0.0449 0.1664 0.3299 -0.0383 -0.0253 0.0604 0.0136 0.0108 0.1138 0.0632 0.0350 0.0250 
0.5569 0.3153 -0.0270 0.1897 0.2139 -0.0145 0.0346 0.0910 0.0274 0.0235 0.0318 0.0625 0.0350 0.0250 
2.1569 0.2794 0.0080 0.0656 0.3315 -0.0648 -0.0074 0.0306 0.0311 0.0281 0.0323 0.1120 0.0350 0.0250 
3.1622 1.5257 0.3291 -0.0668 0.1322 -0.0325 -0.0243 0.3895 0.0630 0.0126 0.0943 0.3187 0.0350 0.0250 
1.4268 0.2753 0.2496 0.1701 0.1243 -0.0360 0.0313 0.0324 0.0199 0.0338 0.0448 0.0367 0.0350 0.0250 
3.8638 1.7075 1.1952 0.1803 0.2231 0.0020 -0.0178 0.2980 0.0933 0.0311 0.0522 0.1926 0.0350 0.0250 
3.1894 2.0862 0.3039 0.0750 0.2182 -0.0719 -0.0377 0.1172 0.0918 0.0349 0.0897 0.2199 0.0350 0.0250 
1.1101 0.0896 0.2798 -0.0284 0.2404 0.0507 0.0212 0.0843 0.0258 0.0031 0.0532 0.0438 0.0350 0.0250 
2.5298 0.6238 0.1554 -0.0316 0.5090 -0.0097 0.0550 0.1357 0.0549 0.0313 0.0738 0.1349 0.0350 0.0250 
1.9370 0.0161 0.0713 0.2053 0.4809 -0.0309 0.0275 0.0776 0.0141 0.0344 0.0293 0.0332 0.0350 0.0250 
3.4430 2.6280 0.5896 0.1672 0.1013 -0.0111 -0.0014 0.5529 0.0612 0.0433 0.0795 0.0470 0.0350 0.0250 
2.2636 0.5628 -0.0007 0.0808 0.3330 -0.0234 0.0021 0.1830 0.0273 0.0546 0.0881 0.1749 0.0350 0.0250 
1.6442 0.2359 0.1994 0.4117 0.1894 0.0570 0.0262 0.0816 0.0412 0.0382 0.0072 0.2037 0.0350 0.0250 
0.6491 0.3631 0.1174 0.1132 0.1406 -0.0044 0.0085 0.0064 0.0147 0.0034 0.0203 0.1001 0.0350 0.0250 
3.7382 1.6752 1.1072 0.1236 0.0541 -0.0064 -0.0287 0.4075 0.0842 0.0278 0.0362 0.0854 0.0350 0.0250 
0.5502 0.3185 0.0429 0.3273 0.0325 -0.0210 0.0475 0.0038 0.0219 0.0177 0.0229 0.1294 0.0350 0.0250 
1.6237 0.2879 0.1516 0.3178 0.1032 0.0515 0.0574 0.0303 0.0462 0.0600 0.0230 0.1908 0.0350 0.0250 
1.1475 0.1206 0.2666 -0.0205 0.0735 0.0242 0.0266 0.0654 0.0327 0.0369 0.0240 0.1134 0.0350 0.0250 
0.7540 0.4108 0.0776 0.0685 0.3928 0.0183 -0.0017 0.1260 0.0329 0.0249 0.0396 0.1446 0.0350 0.0250 
3.5323 2.0732 0.8260 0.2197 -0.0195 -0.0279 -0.0022 0.3577 0.0266 0.0434 0.0657 0.1119 0.0350 0.0250 
3.1524 1.8232 0.2034 0.0473 0.0328 -0.0315 -0.0496 0.3908 0.0959 0.0358 0.0643 0.1415 0.0350 0.0250 
2.5796 0.5941 0.1590 -0.0268 0.5040 -0.0240 0.0440 0.0620 0.0274 0.0702 0.0432 0.1354 0.0350 0.0250 
2.5640 0.5818 0.0981 -0.1710 0.5363 -0.0232 0.0625 0.1446 0.0290 0.0260 0.0842 0.0779 0.0350 0.0250 
2.7160 0.5408 0.1562 -0.0477 0.2893 -0.0328 0.0343 0.2188 0.0484 0.0518 0.0008 0.2476 0.0350 0.0250 
1.9407 -0.0418 0.1383 0.3206 0.3832 -0.0171 0.0105 0.0387 0.0229 0.0108 0.0004 0.1445 0.0350 0.0250 
0.7275 0.2622 0.0638 0.1616 0.2918 0.0081 -0.0054 0.0566 0.0154 0.0574 0.0389 0.1127 0.0350 0.0250 
2.9166 0.8871 0.2369 -0.0022 0.2746 -0.0789 0.0012 0.4220 0.0354 0.0476 0.0974 0.1149 0.0350 0.0250 
3.8631 1.0694 1.1387 0.1749 0.1309 -0.0038 -0.0009 0.3720 0.1318 0.0072 0.0970 0.2191 0.0350 0.0250 
2.3030 0.3647 -0.0204 -0.0172 0.2401 -0.0012 0.0110 0.2115 0.0463 0.0164 0.0439 0.1724 0.0350 0.0250 
2.8573 0.6643 0.2338 0.0254 0.3879 -0.0287 -0.0174 0.2157 0.0390 0.0434 0.0437 0.1291 0.0350 0.0250 
1.2514 0.1109 0.3858 -0.0020 0.3344 0.0171 0.0434 0.0460 0.0244 0.0319 0.0247 0.0472 0.0350 0.0250 
3.2652 1.9705 0.3521 0.1281 0.1535 -0.0246 -0.0359 0.4210 0.0496 0.0286 0.0829 0.1480 0.0350 0.0250 
0.4243 0.2748 0.0401 0.0935 0.2945 -0.0067 0.0131 0.1174 0.0268 0.0173 0.0044 0.0663 0.0350 0.0250 
1.9061 0.1456 0.1244 0.2941 0.3435 0.0059 0.0306 0.0916 0.0311 0.0798 0.0449 0.1020 0.0350 0.0250 
1.4784 0.0347 0.1596 0.1593 0.3084 -0.0224 0.0228 0.0750 0.0221 0.0153 0.0402 0.1151 0.0350 0.0250 
3.7963 2.7488 1.2220 0.0770 0.1038 -0.0023 -0.0315 0.4117 0.1067 0.0419 0.0086 0.1910 0.0350 0.0250 
2.1498 0.2016 0.0509 0.1477 0.3199 -0.0763 -0.0009 0.2100 0.0505 0.0426 0.0686 0.0220 0.0350 0.0250 
1.9634 0.1041 0.1181 0.1955 0.4516 -0.0454 0.0249 0.0370 0.0335 0.0513 0.0629 0.0735 0.0350 0.0250 
1.6806 0.2195 -0.0061 0.3117 0.1570 0.0565 0.0494 0.1146 0.0333 0.0332 0.0352 0.1127 0.0350 0.0250 
2.9019 1.0462 0.2273 -0.0009 0.3034 -0.0738 -0.0109 0.2209 0.0750 0.0250 0.0032 0.0875 0.0350 0.0250 
2.3094 0.3893 0.1021 0.0571 0.4394 0.0204 0.0411 0.1901 0.0268 0.0183 0.0740 0.2283 0.0350 0.0250 
2.5011 0.6198 0.0089 0.0705 0.4365 -0.0157 0.0673 0.1545 0.0479 0.0639 0.0352 0.1856 0.0350 0.0250 
0.9607 0.2209 0.2970 0.0245 0.3794 -0.0019 0.0071 0.0403 0.0373 0.0250 0.0555 0.0305 0.0350 0.0250 
1.9472 0.0208 0.0199 0.1571 0.4342 -0.0226 0.0134 0.0606 0.0363 0.0224 0.0506 0.1099 0.0350 0.0250 
0.6830 0.2968 0.1993 0.1915 0.4297 0.0022 0.0097 0.0804 0.0460 0.0139 0.0633 0.1122 0.0350 0.0250 
1.8754 0.0570 0.0791 0.2472 0.2469 0.0124 0.0310 0.0067 0.0372 0.0355 0.0139 0.2145 0.0350 0.0250 
0.6221 0.3350 0.0713 0.2320 0.1255 -0.0100 0.0100 0.0941 0.0278 0.0379 0.0293 0.0432 0.0350 0.0250 
1.1466 0.1157 0.2900 0.0494 0.2009 0.0380 0.0306 0.0715 0.0485 0.0659 0.0166 0.1381 0.0350 0.0250 
3.6574 2.3667 1.1746 0.1536 0.0364 -0.0302 -0.0341 0.5621 0.0865 0.0646 0.0520 0.2971 0.0350 0.0250 
1.4689 0.1270 0.1687 0.1600 0.1250 -0.0217 0.0320 0.1340 0.0077 0.0226 0.0145 0.0874 0.0350 0.0250 
2.1583 0.3091 0.1458 0.0871 0.2779 -0.0427 -0.0356 0.0717 0.0297 0.0517 0.0655 0.0747 0.0350 0.0250 
1.6581 0.2268 0.1772 0.4272 0.1696 0.0620 0.0459 0.1113 0.0465 0.0417 0.0349 0.0614 0.0350 0.0250 
2.1948 0.3987 0.2136 0.1196 0.5117 -0.0369 -0.0031 0.1925 0.0658 0.0310 0.0257 0.2025 0.0350 0.0250 
3.3897 1.9611 0.4819 0.1114 0.0574 -0.0216 -0.0697 0.3466 0.0946 0.0133 0.0207 0.0928 0.0350 0.0250 
0.8228 0.2790 0.1454 0.0701 0.3735 0.0255 -0.0047 0.0734 0.0441 0.0272 0.0160 0.1201 0.0350 0.0250 
3.1401 1.4021 0.2972 0.0311 0.1720 -0.0453 -0.0571 0.2953 0.0655 0.0895 0.0382 0.1824 0.0350 0.0250 
2.3465 0.2996 0.0023 0.0787 0.4810 0.0015 0.0164 0.2302 0.0251 0.0415 0.0687 0.1766 0.0350 0.0250 
1.0761 0.0917 0.2814 0.0015 0.1878 0.0134 0.0123 0.0388 0.0263 0.0306 0.0168 0.0442 0.0350 0.0250 
2.3978 0.3481 -0.0484 -0.0190 0.4264 0.0069 0.0170 0.1111 0.0442 0.0179 0.0841 0.0464 0.0350 0.0250 
3.2190 2.2560 0.2159 0.1805 0.1536 -0.0603 -0.0378 0.3380 0.0831 0.0588 0.0128 0.1412 0.0350 0.0250 
